id,email,custom_hosted_value
WD000001,abigail.king18@moosetoque.onmicrosoft.com,chv1
WD000002,alex.johnson@moosetoque.onmicrosoft.com,chv2
WD000003,alexw@moosetoque.onmicrosoft.com,chv3
WD000004,anthony.adams128@moosetoque.onmicrosoft.com,chv4
WD000005,anthony.adams68@moosetoque.onmicrosoft.com,chv5
WD000006,anthony.davis47@moosetoque.onmicrosoft.com,chv6
WD000007,anthony.esposito@moosetoque.onmicrosoft.com,chv7
WD000008,diegos@moosetoque.onmicrosoft.com,chv8
WD000009,gradya@moosetoque.onmicrosoft.com,chv9
WD000010,henriettam@moosetoque.onmicrosoft.com,chv10
WD000011,isaiahl@moosetoque.onmicrosoft.com,chv11
WD000012,johannal@moosetoque.onmicrosoft.com,chv12
WD000013,jongraham@moosetoque.onmicrosoft.com,chv13
WD000014,jonis@moosetoque.onmicrosoft.com,chv14
WD000015,leeg@moosetoque.onmicrosoft.com,chv15
WD000016,lidiah@moosetoque.onmicrosoft.com,chv16
WD000017,lynner@moosetoque.onmicrosoft.com,chv17
WD000018,meganb@moosetoque.onmicrosoft.com,chv18
WD000019,miriamg@moosetoque.onmicrosoft.com,chv19
WD000020,nestorw@moosetoque.onmicrosoft.com,chv20
WD000021,pattif@moosetoque.onmicrosoft.com,chv21
WD000022,pradeepg@moosetoque.onmicrosoft.com,chv22
WD000023,rahul.batra@moosetoque.onmicrosoft.com,chv23
WD000024,scimone@moosetoque.onmicrosoft.com,chv24
WD000025,scimtwo@moosetoque.onmicrosoft.com,chv25
WD000026,superadmin@moosetoque.onmicrosoft.com,chv26
WD000027,workdayreportviewer@moosetoque.onmicrosoft.com,chv27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
